file name,manual count,auto count
29-L-C-01,332,
29-L-C-02,357,
29-L-C-03,429,
29-L-C-04,334,
29-L-M-01,294,
29-L-M-02,358,
29-L-M-03,301,
29-L-M-04,322,
29-L-P-01,156,
29-L-P-02,185,
29-L-P-03,181,
29-L-P-04,267,
29-R-C-01,442,
29-R-C-02,425,
29-R-C-03,456,
29-R-C-04,441,
29-R-M-01,463,
29-R-M-02,402,
29-R-M-03,428,
29-R-M-04,357,
29-R-P-01,341,
29-R-P-02,270,
29-R-P-03,230,
29-R-P-04,196,
47-L-C-01,324,
47-L-C-02,464,
47-L-C-03,439,
47-L-C-04,445,
47-L-M-01,227,
47-L-M-02,308,
47-L-M-03,429,
47-L-M-04,265,
47-L-P-01,179,
47-L-P-02,152,
47-L-P-03,194,
47-L-P-04,117,
47-R-C-01,427,
47-R-C-02,395,
47-R-C-03,394,
47-R-C-04,452,
47-R-M-01,315,
47-R-M-02,419,
47-R-M-03,357,
47-R-M-04,386,
47-R-P-01,161,
47-R-P-02,161,
47-R-P-03,214,
47-R-P-04,153,
51-L-C-01,485,
51-L-C-02,481,
51-L-C-03,427,
51-L-C-04,423,
51-L-M-01,367,
51-L-M-02,414,
51-L-M-03,395,
51-L-M-04,364,
51-L-P-01,155,
51-L-P-02,128,
51-L-P-03,192,
51-L-P-04,336,
51-R-C-01,560,
51-R-C-02,462,
51-R-C-03,495,
51-R-C-04,518,
51-R-M-01,305,
51-R-M-02,343,
51-R-M-03,412,
51-R-M-04,417,
51-R-P-01,148,
51-R-P-02,217,
51-R-P-03,233,
51-R-P-04,157,
10-L-C-01,470,
10-L-C-02,435,
10-L-C-03,423,
10-L-C-04,423,
10-L-M-01,265,
10-L-M-02,414,
10-L-M-03,322,
10-L-M-04,339,
10-L-P-01,92,
10-L-P-02,210,
10-L-P-03,189,
10-L-P-04,193,
10-R-C-01,456,
10-R-C-02,494,
10-R-C-03,485,
10-R-C-04,402,
10-R-M-01,420,
10-R-M-02,488,
10-R-M-03,436,
10-R-M-04,400,
10-R-P-01,308,
10-R-P-02,202,
10-R-P-03,313,
10-R-P-04,291,
09-L-C-01,345,
09-L-C-02,350,
09-L-C-03,377,
09-L-C-04,413,
09-L-M-01,290,
09-L-M-02,389,
09-L-M-03,223,
09-L-M-04,291,
09-L-P-01,124,
09-L-P-02,232,
09-L-P-03,94,
09-L-P-04,191,
09-R-C-01,380,
09-R-C-02,424,
09-R-C-03,431,
09-R-C-04,410,
09-R-M-01,381,
09-R-M-02,394,
09-R-M-03,401,
09-R-M-04,242,
09-R-P-01,302,
09-R-P-02,276,
09-R-P-03,236,
09-R-P-04,147,
08-L-C-01,316,
08-L-C-02,349,
08-L-C-03,424,
08-L-C-04,366,
08-L-M-01,269,
08-L-M-02,231,
08-L-M-03,329,
08-L-M-04,410,
08-L-P-01,168,
08-L-P-02,163,
08-L-P-03,172,
08-L-P-04,179,
08-R-C-01,327,
08-R-C-02,459,
08-R-C-03,331,
08-R-C-04,372,
08-R-M-01,364,
08-R-M-02,393,
08-R-M-03,339,
08-R-M-04,321,
08-R-P-01,191,
08-R-P-02,221,
08-R-P-03,213,
08-R-P-04,236,
06-L-C-01,201,
06-L-C-02,187,
06-L-C-03,233,
06-L-C-04,238,
06-L-M-01,134,
06-L-M-02,144,
06-L-M-03,217,
06-L-M-04,180,
06-L-P-01,135,
06-L-P-02,135,
06-L-P-03,174,
06-L-P-04,89,
06-R-C-01,357,
06-R-C-02,412,
06-R-C-03,404,
06-R-C-04,325,
06-R-M-01,311,
06-R-M-02,415,
06-R-M-03,341,
06-R-M-04,330,
06-R-P-01,140,
06-R-P-02,192,
06-R-P-03,250,
06-R-P-04,231,
05-L-C-01,361,
05-L-C-02,378,
05-L-C-03,351,
05-L-C-04,359,
05-L-M-01,282,
05-L-M-02,365,
05-L-M-03,330,
05-L-M-04,348,
05-L-P-01,138,
05-L-P-02,204,
05-L-P-03,195,
05-L-P-04,183,
05-R-C-01,395,
05-R-C-02,399,
05-R-C-03,384,
05-R-C-04,362,
05-R-M-01,377,
05-R-M-02,433,
05-R-M-03,279,
05-R-M-04,365,
05-R-P-01,267,
05-R-P-02,291,
05-R-P-03,186,
05-R-P-04,268,
04-L-C-01,301,
04-L-C-02,237,
04-L-C-03,376,
04-L-C-04,353,
04-L-M-01,191,
04-L-M-02,272,
04-L-M-03,356,
04-L-M-04,326,
04-L-P-01,152,
04-L-P-02,154,
04-L-P-03,260,
04-L-P-04,190,
04-R-C-01,424,
04-R-C-02,486,
04-R-C-03,422,
04-R-C-04,412,
04-R-M-01,483,
04-R-M-02,485,
04-R-M-03,394,
04-R-M-04,416,
04-R-P-01,210,
04-R-P-02,291,
04-R-P-03,303,
04-R-P-04,202,
03-L-C-01,364,
03-L-C-02,412,
03-L-C-03,382,
03-L-C-04,424,
03-L-M-01,382,
03-L-M-02,383,
03-L-M-03,255,
03-L-M-04,350,
03-L-P-01,257,
03-L-P-02,296,
03-L-P-03,128,
03-L-P-04,201,
03-R-C-01,364,
03-R-C-02,461,
03-R-C-03,410,
03-R-C-04,398,
03-R-M-01,313,
03-R-M-02,415,
03-R-M-03,426,
03-R-M-04,375,
03-R-P-01,198,
03-R-P-02,218,
03-R-P-03,314,
03-R-P-04,293,
02-L-C-01,390,
02-L-C-02,395,
02-L-C-03,337,
02-L-C-04,412,
02-L-M-01,187,
02-L-M-02,383,
02-L-M-03,286,
02-L-M-04,306,
02-L-P-01,120,
02-L-P-02,163,
02-L-P-03,142,
02-L-P-04,182,
02-R-C-01,512,
02-R-C-02,418,
02-R-C-03,430,
02-R-C-04,415,
02-R-M-01,418,
02-R-M-02,285,
02-R-M-03,433,
02-R-M-04,367,
02-R-P-01,360,
02-R-P-02,205,
02-R-P-03,290,
02-R-P-04,299,
01-L-C-01,435,
01-L-C-02,364,
01-L-C-03,415,
01-L-C-04,380,
01-L-M-01,432,
01-L-M-02,289,
01-L-M-03,395,
01-L-M-04,384,
01-L-P-01,219,
01-L-P-02,131,
01-L-P-03,307,
01-L-P-04,211,
01-R-C-01,416,
01-R-C-02,440,
01-R-C-03,447,
01-R-C-04,472,
01-R-M-01,259,
01-R-M-02,403,
01-R-M-03,446,
01-R-M-04,434,
01-R-P-01,146,
01-R-P-02,241,
01-R-P-03,316,
01-R-P-04,347,
31-L-C-01,442,
31-L-C-02,409,
31-L-C-03,481,
31-L-C-04,393,
31-L-M-01,518,
31-L-M-02,367,
31-L-M-03,419,
31-L-M-04,317,
31-L-P-01,124,
31-L-P-02,150,
31-L-P-03,168,
31-L-P-04,110,
31-R-C-01,540,
31-R-C-02,506,
31-R-C-03,523,
31-R-C-04,539,
31-R-M-01,515,
31-R-M-02,483,
31-R-M-03,446,
31-R-M-04,338,
31-R-P-01,351,
31-R-P-02,260,
31-R-P-03,249,
31-R-P-04,168,
11-L-C-01,369,
11-L-C-02,385,
11-L-C-03,396,
11-L-C-04,355,
11-L-M-01,337,
11-L-M-02,380,
11-L-M-03,319,
11-L-M-04,435,
11-L-P-01,264,
11-L-P-02,217,
11-L-P-03,144,
11-L-P-04,173,
11-R-C-01,462,
11-R-C-02,548,
11-R-C-03,478,
11-R-C-04,453,
11-R-M-01,236,
11-R-M-02,512,
11-R-M-03,324,
11-R-M-04,401,
11-R-P-01,137,
11-R-P-02,183,
11-R-P-03,258,
11-R-P-04,235,
12-L-C-01,336,
12-L-C-02,219,
12-L-C-03,232,
12-L-C-04,289,
12-L-M-01,258,
12-L-M-02,213,
12-L-M-03,277,
12-L-M-04,193,
12-L-P-01,181,
12-L-P-02,159,
12-L-P-03,177,
12-L-P-04,158,
12-R-C-01,455,
12-R-C-02,457,
12-R-C-03,474,
12-R-C-04,438,
12-R-M-01,303,
12-R-M-02,451,
12-R-M-03,439,
12-R-M-04,428,
12-R-P-01,180,
12-R-P-02,259,
12-R-P-03,265,
12-R-P-04,355,
13-L-C-01,382,
13-L-C-02,499,
13-L-C-03,416,
13-L-C-04,382,
13-L-M-01,402,
13-L-M-02,352,
13-L-M-03,400,
13-L-M-04,401,
13-L-P-01,227,
13-L-P-02,252,
13-L-P-03,157,
13-L-P-04,188,
13-R-C-01,488,
13-R-C-02,459,
13-R-C-03,493,
13-R-C-04,432,
13-R-M-01,452,
13-R-M-02,463,
13-R-M-03,386,
13-R-M-04,384,
13-R-P-01,286,
13-R-P-02,196,
13-R-P-03,146,
13-R-P-04,210,
14-L-C-01,423,
14-L-C-02,389,
14-L-C-03,351,
14-L-C-04,406,
14-L-M-01,225,
14-L-M-02,407,
14-L-M-03,344,
14-L-M-04,298,
14-L-P-01,166,
14-L-P-02,127,
14-L-P-03,120,
14-L-P-04,163,
14-R-C-01,474,
14-R-C-02,425,
14-R-C-03,441,
14-R-C-04,503,
14-R-M-01,344,
14-R-M-02,456,
14-R-M-03,428,
14-R-M-04,458,
14-R-P-01,191,
14-R-P-02,231,
14-R-P-03,388,
14-R-P-04,283,
15-L-C-01,460,
15-L-C-02,455,
15-L-C-03,462,
15-L-C-04,383,
15-L-M-01,375,
15-L-M-02,411,
15-L-M-03,433,
15-L-M-04,231,
15-L-P-01,168,
15-L-P-02,289,
15-L-P-03,105,
15-L-P-04,146,
15-R-C-01,519,
15-R-C-02,494,
15-R-C-03,459,
15-R-C-04,481,
15-R-M-01,372,
15-R-M-02,492,
15-R-M-03,446,
15-R-M-04,395,
15-R-P-01,179,
15-R-P-02,205,
15-R-P-03,464,
15-R-P-04,220,
16-L-C-01,256,
16-L-C-02,356,
16-L-C-03,303,
16-L-C-04,340,
16-L-M-01,174,
16-L-M-02,286,
16-L-M-03,338,
16-L-M-04,383,
16-L-P-01,63,
16-L-P-02,85,
16-L-P-03,189,
16-L-P-04,129,
16-R-C-01,582,
16-R-C-02,509,
16-R-C-03,559,
16-R-C-04,634,
16-R-M-01,513,
16-R-M-02,519,
16-R-M-03,366,
16-R-M-04,492,
16-R-P-01,315,
16-R-P-02,266,
16-R-P-03,230,
16-R-P-04,192,
17-L-C-01,281,
17-L-C-02,408,
17-L-C-03,337,
17-L-C-04,343,
17-L-M-01,439,
17-L-M-02,333,
17-L-M-03,458,
17-L-M-04,401,
17-L-P-01,122,
17-L-P-02,141,
17-L-P-03,74,
17-L-P-04,116,
17-R-C-01,434,
17-R-C-02,382,
17-R-C-03,385,
17-R-C-04,396,
17-R-M-01,333,
17-R-M-02,461,
17-R-M-03,379,
17-R-M-04,353,
17-R-P-01,160,
17-R-P-02,149,
17-R-P-03,267,
17-R-P-04,151,
18-L-C-01,341,
18-L-C-02,319,
18-L-C-03,285,
18-L-C-04,274,
18-L-M-01,147,
18-L-M-02,326,
18-L-M-03,310,
18-L-M-04,233,
18-L-P-01,143,
18-L-P-02,133,
18-L-P-03,133,
18-L-P-04,120,
18-R-C-01,472,
18-R-C-02,361,
18-R-C-03,349,
18-R-C-04,338,
18-R-M-01,447,
18-R-M-02,277,
18-R-M-03,276,
18-R-M-04,327,
18-R-P-01,136,
18-R-P-02,232,
18-R-P-03,235,
18-R-P-04,260,
19-L-C-01,478,
19-L-C-02,477,
19-L-C-03,372,
19-L-C-04,467,
19-L-M-01,457,
19-L-M-02,353,
19-L-M-03,323,
19-L-M-04,337,
19-L-P-01,303,
19-L-P-02,204,
19-L-P-03,170,
19-L-P-04,183,
19-R-C-01,490,
19-R-C-02,470,
19-R-C-03,466,
19-R-C-04,458,
19-R-M-01,336,
19-R-M-02,332,
19-R-M-03,426,
19-R-M-04,393,
19-R-P-01,150,
19-R-P-02,143,
19-R-P-03,199,
19-R-P-04,264,
20-L-C-01,293,
20-L-C-02,290,
20-L-C-03,287,
20-L-C-04,282,
20-L-M-01,298,
20-L-M-02,214,
20-L-M-03,259,
20-L-M-04,345,
20-L-P-01,209,
20-L-P-02,97,
20-L-P-03,186,
20-L-P-04,114,
20-R-C-01,337,
20-R-C-02,332,
20-R-C-03,335,
20-R-C-04,319,
20-R-M-01,379,
20-R-M-02,333,
20-R-M-03,330,
20-R-M-04,315,
20-R-P-01,233,
20-R-P-02,229,
20-R-P-03,274,
20-R-P-04,264,
21-L-C-01,393,
21-L-C-02,400,
21-L-C-03,346,
21-L-C-04,424,
21-L-M-01,324,
21-L-M-02,306,
21-L-M-03,301,
21-L-M-04,385,
21-L-P-01,179,
21-L-P-02,186,
21-L-P-03,124,
21-L-P-04,175,
21-R-C-01,443,
21-R-C-02,404,
21-R-C-03,405,
21-R-C-04,368,
21-R-M-01,332,
21-R-M-02,426,
21-R-M-03,375,
21-R-M-04,340,
21-R-P-01,193,
21-R-P-02,240,
21-R-P-03,268,
21-R-P-04,163,
22-L-C-01,327,
22-L-C-02,339,
22-L-C-03,363,
22-L-C-04,341,
22-L-M-01,323,
22-L-M-02,294,
22-L-M-03,274,
22-L-M-04,404,
22-L-P-01,131,
22-L-P-02,290,
22-L-P-03,136,
22-L-P-04,225,
22-R-C-01,410,
22-R-C-02,438,
22-R-C-03,422,
22-R-C-04,456,
22-R-M-01,271,
22-R-M-02,319,
22-R-M-03,409,
22-R-M-04,374,
22-R-P-01,177,
22-R-P-02,180,
22-R-P-03,212,
22-R-P-04,168,
23-L-C-01,392,
23-L-C-02,443,
23-L-C-03,279,
23-L-C-04,467,
23-L-M-01,356,
23-L-M-02,363,
23-L-M-03,182,
23-L-M-04,434,
23-L-P-01,216,
23-L-P-02,239,
23-L-P-03,163,
23-L-P-04,169,
23-R-C-01,554,
23-R-C-02,482,
23-R-C-03,436,
23-R-C-04,438,
23-R-M-01,469,
23-R-M-02,243,
23-R-M-03,452,
23-R-M-04,433,
23-R-P-01,172,
23-R-P-02,165,
23-R-P-03,262,
23-R-P-04,301,
24-L-C-01,407,
24-L-C-02,414,
24-L-C-03,283,
24-L-C-04,341,
24-L-M-01,293,
24-L-M-02,428,
24-L-M-03,270,
24-L-M-04,294,
24-L-P-01,105,
24-L-P-02,213,
24-L-P-03,165,
24-L-P-04,217,
24-R-C-01,480,
24-R-C-02,458,
24-R-C-03,484,
24-R-C-04,268,
24-R-M-01,336,
24-R-M-02,435,
24-R-M-03,429,
24-R-M-04,323,
24-R-P-01,168,
24-R-P-02,313,
24-R-P-03,251,
24-R-P-04,181,
25-L-C-01,476,
25-L-C-02,445,
25-L-C-03,421,
25-L-C-04,406,
25-L-M-01,409,
25-L-M-02,348,
25-L-M-03,428,
25-L-M-04,257,
25-L-P-01,195,
25-L-P-02,126,
25-L-P-03,166,
25-L-P-04,149,
25-R-C-01,471,
25-R-C-02,437,
25-R-C-03,500,
25-R-C-04,326,
25-R-M-01,424,
25-R-M-02,388,
25-R-M-03,383,
25-R-M-04,224,
25-R-P-01,286,
25-R-P-02,201,
25-R-P-03,167,
25-R-P-04,138,
26-L-C-01,378,
26-L-C-02,403,
26-L-C-03,391,
26-L-C-04,402,
26-L-M-01,283,
26-L-M-02,374,
26-L-M-03,383,
26-L-M-04,221,
26-L-P-01,136,
26-L-P-02,195,
26-L-P-03,144,
26-L-P-04,114,
26-R-C-01,392,
26-R-C-02,389,
26-R-C-03,500,
26-R-C-04,455,
26-R-M-01,342,
26-R-M-02,289,
26-R-M-03,388,
26-R-M-04,394,
26-R-P-01,198,
26-R-P-02,163,
26-R-P-03,176,
26-R-P-04,106,
37-L-C-01,429,
37-L-C-02,342,
37-L-C-03,418,
37-L-C-04,428,
37-L-M-01,351,
37-L-M-02,257,
37-L-M-03,418,
37-L-M-04,334,
37-L-P-01,174,
37-L-P-02,158,
37-L-P-03,166,
37-L-P-04,211,
37-R-C-01,456,
37-R-C-02,452,
37-R-C-03,442,
37-R-C-04,417,
37-R-M-01,376,
37-R-M-02,412,
37-R-M-03,399,
37-R-M-04,452,
37-R-P-01,230,
37-R-P-02,262,
37-R-P-03,234,
37-R-P-04,201,
41-L-C-01,367,
41-L-C-02,322,
41-L-C-03,372,
41-L-C-04,401,
41-L-M-01,387,
41-L-M-02,231,
41-L-M-03,315,
41-L-M-04,350,
41-L-P-01,213,
41-L-P-02,168,
41-L-P-03,140,
41-L-P-04,222,
41-R-C-01,340,
41-R-C-02,274,
41-R-C-03,360,
41-R-C-04,455,
41-R-M-01,329,
41-R-M-02,325,
41-R-M-03,309,
41-R-M-04,434,
41-R-P-01,210,
41-R-P-02,233,
41-R-P-03,171,
41-R-P-04,147,
43-L-C-01,502,
43-L-C-02,484,
43-L-C-03,457,
43-L-C-04,423,
43-L-M-01,485,
43-L-M-02,348,
43-L-M-03,424,
43-L-M-04,294,
43-L-P-01,176,
43-L-P-02,266,
43-L-P-03,269,
43-L-P-04,191,
43-R-C-01,466,
43-R-C-02,457,
43-R-C-03,483,
43-R-C-04,460,
43-R-M-01,439,
43-R-M-02,405,
43-R-M-03,456,
43-R-M-04,316,
43-R-P-01,197,
43-R-P-02,254,
43-R-P-03,279,
43-R-P-04,229,
45-L-C-01,342,
45-L-C-02,429,
45-L-C-03,413,
45-L-C-04,378,
45-L-M-01,331,
45-L-M-02,366,
45-L-M-03,281,
45-L-M-04,345,
45-L-P-01,231,
45-L-P-02,173,
45-L-P-03,164,
45-L-P-04,171,
45-R-C-01,457,
45-R-C-02,466,
45-R-C-03,479,
45-R-C-04,307,
45-R-M-01,464,
45-R-M-02,418,
45-R-M-03,410,
45-R-M-04,277,
45-R-P-01,231,
45-R-P-02,181,
45-R-P-03,166,
45-R-P-04,149,
,,
